"filename", "language", "EditorConfig", "Ignore", "JavaScript", "JSON", "Markdown", "TypeScript", "Less", "XML", "TypeScript React", "HTML", "comment", "blank", "total"
"f:\毕业设计\TeachingManagement_font-end_umi\src\components\SelectWriting\index.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 0, 0, 43, 0, 0, 6, 49
"f:\毕业设计\TeachingManagement_font-end_umi\src\global.less", "Less", 0, 0, 0, 0, 0, 0, 45, 0, 0, 0, 1, 9, 55
"f:\毕业设计\TeachingManagement_font-end_umi\src\global.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 0, 0, 74, 0, 4, 14, 92
"f:\毕业设计\TeachingManagement_font-end_umi\src\layouts\BasicLayout.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 0, 0, 144, 0, 28, 11, 183
"f:\毕业设计\TeachingManagement_font-end_umi\src\layouts\BlankLayout.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 3, 6
"f:\毕业设计\TeachingManagement_font-end_umi\src\layouts\SecurityLayout.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 0, 0, 49, 0, 2, 7, 58
"f:\毕业设计\TeachingManagement_font-end_umi\src\layouts\UserLayout.less", "Less", 0, 0, 0, 0, 0, 0, 61, 0, 0, 0, 0, 11, 72
"f:\毕业设计\TeachingManagement_font-end_umi\src\layouts\UserLayout.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 0, 0, 73, 0, 0, 6, 79
"f:\毕业设计\TeachingManagement_font-end_umi\src\manifest.json", "JSON", 0, 0, 0, 22, 0, 0, 0, 0, 0, 0, 0, 1, 23
"f:\毕业设计\TeachingManagement_font-end_umi\src\models\connect.d.ts", "TypeScript", 0, 0, 0, 0, 0, 27, 0, 0, 0, 0, 0, 5, 32
"f:\毕业设计\TeachingManagement_font-end_umi\src\models\global.ts", "TypeScript", 0, 0, 0, 0, 0, 125, 0, 0, 0, 0, 1, 13, 139
"f:\毕业设计\TeachingManagement_font-end_umi\src\models\login.ts", "TypeScript", 0, 0, 0, 0, 0, 81, 0, 0, 0, 0, 4, 9, 94
"f:\毕业设计\TeachingManagement_font-end_umi\src\models\setting.ts", "TypeScript", 0, 0, 0, 0, 0, 33, 0, 0, 0, 0, 0, 5, 38
"f:\毕业设计\TeachingManagement_font-end_umi\src\models\user.ts", "TypeScript", 0, 0, 0, 0, 0, 81, 0, 0, 0, 0, 0, 10, 91
"f:\毕业设计\TeachingManagement_font-end_umi\src\pages\404.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 0, 0, 16, 0, 0, 3, 19
"f:\毕业设计\TeachingManagement_font-end_umi\src\pages\Admin.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 0, 0, 30, 0, 0, 2, 32
"f:\毕业设计\TeachingManagement_font-end_umi\src\pages\Authorized.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 0, 0, 33, 0, 0, 4, 37
"f:\毕业设计\TeachingManagement_font-end_umi\src\pages\Welcome.less", "Less", 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 2, 9
"f:\毕业设计\TeachingManagement_font-end_umi\src\pages\Welcome.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 0, 0, 60, 0, 0, 3, 63
"f:\毕业设计\TeachingManagement_font-end_umi\src\pages\account\center\Center.less", "Less", 0, 0, 0, 0, 0, 0, 74, 0, 0, 0, 0, 13, 87
"f:\毕业设计\TeachingManagement_font-end_umi\src\pages\account\center\components\ArticleListContent\index.less", "Less", 0, 0, 0, 0, 0, 0, 36, 0, 0, 0, 0, 3, 39
"f:\毕业设计\TeachingManagement_font-end_umi\src\pages\account\center\components\ArticleListContent\index.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 0, 0, 29, 0, 0, 3, 32
"f:\毕业设计\TeachingManagement_font-end_umi\src\pages\account\center\components\Articles\index.less", "Less", 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 2, 13
"f:\毕业设计\TeachingManagement_font-end_umi\src\pages\account\center\components\Articles\index.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 0, 0, 78, 0, 14, 8, 100
"f:\毕业设计\TeachingManagement_font-end_umi\src\pages\account\center\components\AvatarList\index.less", "Less", 0, 0, 0, 0, 0, 0, 44, 0, 0, 0, 0, 7, 51
"f:\毕业设计\TeachingManagement_font-end_umi\src\pages\account\center\components\AvatarList\index.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 0, 0, 72, 0, 0, 14, 86
"f:\毕业设计\TeachingManagement_font-end_umi\src\pages\account\center\components\Projects\index.less", "Less", 0, 0, 0, 0, 0, 0, 58, 0, 0, 0, 0, 6, 64
"f:\毕业设计\TeachingManagement_font-end_umi\src\pages\account\center\components\Projects\index.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 0, 0, 47, 0, 0, 4, 51
"f:\毕业设计\TeachingManagement_font-end_umi\src\pages\account\center\data.d.ts", "TypeScript", 0, 0, 0, 0, 0, 80, 0, 0, 0, 0, 0, 7, 87
"f:\毕业设计\TeachingManagement_font-end_umi\src\pages\account\center\index.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 0, 0, 226, 0, 4, 16, 246
"f:\毕业设计\TeachingManagement_font-end_umi\src\pages\account\center\model.ts", "TypeScript", 0, 0, 0, 0, 0, 98, 0, 0, 0, 0, 1, 8, 107
"f:\毕业设计\TeachingManagement_font-end_umi\src\pages\account\center\service.ts", "TypeScript", 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 4, 14
